nid,ip,name
0,192.168.0.1,
1,76.73.172.233,dynamic-76-73-172-233.knology.net
2,76.73.167.198,76-73-167-198.knology.net
3,76.73.166.126,76-73-166-126.knology.net
4,76.73.166.125,76-73-166-125.knology.net
5,69.73.0.139,static-69-73-0-139.knology.net
6,75.76.127.229,user-75-76-127-229.knology.net
7,206.223.119.37,10gigabitethernet4-1.core1.chi1.he.NET
8,216.66.76.182,ohio-state-university.10gigabitethernet9-4.core1.chi1.he.net
9,199.218.38.18,clmbn-r0-xe-1-1-1s100.core.oar.net
10,199.218.38.26,clmbk-r9-xe-1-0-0s100.core.oar.net
11,199.18.169.2,kc3-teng1-4s330.ohio-dmz.net
12,164.107.2.194,kc1-teng1-20.net.ohio-state.edu
13,164.107.2.210,kc2-gig0-0-2.net.ohio-state.edu
14,164.107.2.1,man1-lo0.net.ohio-state.edu
15,164.107.2.81,tc1-forg1-4.net.ohio-state.edu
16,164.107.2.114,tc2-gig0-0-0.net.ohio-state.edu
17,164.107.2.2,sf1-lo0.net.ohio-state.edu
18,164.107.2.3,tc4-lo0.net.ohio-state.edu
19,164.107.2.4,cx1-lo0.net.ohio-state.edu
20,164.107.2.5,tc2-lo0.net.ohio-state.edu
21,199.218.38.34,clmbk-r9-xe-1-1-1s100.core.oar.net
22,164.107.2.6,kc3-lo1.net.ohio-state.edu
23,164.107.2.7,knight1-lo0.net.ohio-state.edu
24,164.107.2.8,kc3-lo0.net.ohio-state.edu
25,164.107.2.9,cuy1-lo0.net.ohio-state.edu
26,164.107.2.150,se4-forg2-4.net.ohio-state.edu
27,164.107.2.10,se3-lo0.net.ohio-state.edu
28,164.107.2.11,kc6-lo0.net.ohio-state.edu
29,164.107.2.12,new1-lo0.net.ohio-state.edu
30,164.107.2.13,kc2-lo0.net.ohio-state.edu
31,164.107.2.14,lazarus1-lo0.net.ohio-state.edu
32,164.107.2.15,tc6-lo0.net.ohio-state.edu
33,164.107.2.17,kc6-teng8-4.net.ohio-state.edu
34,164.107.2.18,kc1-teng1-14.net.ohio-state.edu
35,164.107.2.218,tc6-teng2-2.net.ohio-state.edu
36,164.107.2.20,wsu-l0.net.ohio-state.edu
37,164.107.2.21,tc1-lo0.net.ohio-state.edu
38,164.107.2.22,mar1-lo0.net.ohio-state.edu
39,164.107.2.23,kc1-lo0.net.ohio-state.edu
40,164.107.2.25,kc6-teng8-6.net.ohio-state.edu
41,164.107.2.26,socc-dc2b-teng3-1.net.ohio-state.edu
42,164.107.2.28,lima1-lo0.net.ohio-state.edu
43,164.107.2.29,se4-lo0.net.ohio-state.edu
44,164.107.2.30,dsa1-lo0.net.ohio-state.edu
45,164.107.2.31,summit1445-lo0.net.ohio-state.edu
46,164.107.2.118,
47,164.107.2.32,
48,164.107.2.33,fsr1-lo0.net.ohio-state.edu
49,164.107.2.34,oardc1-lo0.net.ohio-state.edu
50,164.107.2.35,kc6-lo1.net.ohio-state.edu
51,164.107.2.37,tc4-teng8-6.net.ohio-state.edu
52,164.107.2.161,tc4-teng8-4.net.ohio-state.edu
53,164.107.2.38,tc-dc2a-teng3-1.net.ohio-state.edu
54,164.107.2.41,tc2-ser0-1-4c0.net.ohio-state.edu
55,164.107.2.42,taylor211.net.ohio-state.edu
56,164.107.2.45,tc2-gig0-0-3s1709.net.ohio-state.edu
57,164.107.2.46,tennis1-fa0-1.net.ohio-state.edu
58,164.107.2.48,pres1-lo0.net.ohio-state.edu
59,164.107.2.49,socc-dc2b-lo0.net.ohio-state.edu
60,164.107.2.51,tennis1-lo0.net.ohio-state.edu
61,164.107.2.53,tc2-gig0-0-3s1710.net.ohio-state.edu
62,164.107.2.54,cx1-fa0-0.net.ohio-state.edu
63,164.107.2.57,tc2-mul2.net.ohio-state.edu
64,164.107.2.58,knight1-mul2.net.ohio-state.edu
65,164.107.2.61,tc2-gig0-0-3s1708.net.ohio-state.edu
66,164.107.2.62,sf1-fa0-1.net.ohio-state.edu
67,164.107.2.65,kc2-gig0-0-3s349.net.ohio-state.edu
68,164.107.2.66,mar1-gig0-0-0s349.net.ohio-state.edu
69,164.107.2.69,tc2-gig0-0-3s1701.net.ohio-state.edu
70,164.107.2.70,lima1-ser1-0.net.ohio-state.edu
71,164.107.2.73,kc2-gig0-0-3s348.net.ohio-state.edu
72,164.107.2.74,new1-gig0-0-0s348.net.ohio-state.edu
73,164.107.2.77,tc2-gig0-0-3s1711.net.ohio-state.edu
74,164.107.2.78,dsa1-gig0-3.net.ohio-state.edu
75,164.107.2.82,kc1-forg2-4.net.ohio-state.edu
76,164.107.2.85,tc2-gig0-0-3s1705.net.ohio-state.edu
77,164.107.2.86,gh1-fa0-1.net.ohio-state.edu
78,164.107.2.89,
79,164.107.2.90,tctest-asr1002.net.ohio-state.edu
80,164.107.2.93,tc2-gig0-0-3s1706.net.ohio-state.edu
81,164.107.2.94,pres1-fa0-1.net.ohio-state.edu
82,164.107.2.101,tc2-gig0-0-3s1707.net.ohio-state.edu
83,164.107.2.102,lazarus1-fa0-1.net.ohio-state.edu
84,164.107.2.105,kc2-gig0-0-3s347.net.ohio-state.edu
85,164.107.2.106,lima1-gig0-0-0s347.net.ohio-state.edu
86,164.107.2.109,tc2-gig0-0-3s1846.net.ohio-state.edu
87,164.107.2.110,oardc1-gig0-0-0s1846.net.ohio-state.edu
88,164.107.2.113,tc1-gig5-45.net.ohio-state.edu
89,164.107.2.117,tc1-vl812.net.ohio-state.edu
