parent,child,rtt
192.168.0.1,76.73.172.233,47.00
192.168.0.1,76.73.172.233,0.00
76.73.172.233,76.73.167.198,46.00
76.73.172.233,76.73.167.198,0.00
76.73.167.198,76.73.166.126,16.00
76.73.167.198,76.73.166.126,15.00
76.73.166.126,76.73.166.125,15.00
76.73.166.126,76.73.166.125,0.00
76.73.166.125,69.73.0.139,31.00
76.73.166.125,69.73.0.139,16.00
69.73.0.139,75.76.127.229,16.00
75.76.127.229,206.223.119.37,16.00
206.223.119.37,216.66.76.182,63.00
206.223.119.37,216.66.76.182,47.00
216.66.76.182,199.218.38.18,47.00
199.218.38.18,199.218.38.26,46.00
199.218.38.26,199.18.169.2,47.00
199.218.38.34,199.18.169.2,47.00
199.18.169.2,164.107.2.194,62.00
199.18.169.2,164.107.2.194,78.00
164.107.2.194,164.107.2.210,78.00
164.107.2.210,164.107.2.1,62.00
164.107.2.194,164.107.2.81,46.00
164.107.2.81,164.107.2.114,47.00
164.107.2.114,164.107.2.2,62.00
164.107.2.81,164.107.2.3,47.00
164.107.2.114,164.107.2.4,62.00
164.107.2.81,164.107.2.5,47.00
199.218.38.18,199.218.38.34,46.00
199.218.38.14,199.218.38.34,47.00
199.218.38.34,164.107.2.6,62.00
164.107.2.114,164.107.2.7,47.00
199.218.38.34,164.107.2.8,62.00
164.107.2.114,164.107.2.9,62.00
164.107.2.194,164.107.2.150,94.00
164.107.2.150,164.107.2.10,94.00
164.107.2.194,164.107.2.11,78.00
164.107.2.210,164.107.2.12,63.00
164.107.2.194,164.107.2.13,78.00
164.107.2.114,164.107.2.14,47.00
199.18.169.2,164.107.2.15,47.00
164.107.2.194,164.107.2.17,46.00
164.107.2.194,164.107.2.17,47.00
199.18.169.2,164.107.2.18,62.00
164.107.4.81,164.107.2.18,63.00
199.18.169.2,164.107.2.218,62.00
164.107.2.218,164.107.2.20,62.00
164.107.2.194,164.107.2.21,62.00
164.107.2.210,164.107.2.22,63.00
199.18.169.2,164.107.2.23,47.00
164.107.2.194,164.107.2.25,47.00
164.107.2.17,164.107.2.26,47.00
164.107.2.114,164.107.2.28,109.00
164.107.2.194,164.107.2.29,46.00
164.107.2.114,164.107.2.30,94.00
164.107.2.114,164.107.2.31,63.00
164.107.2.81,164.107.2.118,78.00
164.107.2.118,164.107.2.32,47.00
164.107.2.114,164.107.2.33,62.00
164.107.2.210,164.107.2.34,47.00
164.107.2.194,164.107.2.35,47.00
164.107.2.81,164.107.2.37,63.00
164.107.2.81,164.107.2.161,62.00
164.107.2.161,164.107.2.38,47.00
164.107.2.81,164.107.2.41,62.00
164.107.2.114,164.107.2.42,78.00
164.107.2.81,164.107.2.45,63.00
164.107.2.114,164.107.2.46,62.00
164.107.2.114,164.107.2.48,62.00
164.107.2.17,164.107.2.49,47.00
164.107.2.114,164.107.2.51,78.00
164.107.2.81,164.107.2.53,63.00
164.107.2.114,164.107.2.54,62.00
164.107.2.81,164.107.2.57,47.00
164.107.2.114,164.107.2.58,63.00
164.107.2.81,164.107.2.61,78.00
164.107.2.114,164.107.2.62,63.00
164.107.2.194,164.107.2.65,47.00
164.107.2.210,164.107.2.66,62.00
164.107.2.81,164.107.2.69,62.00
164.107.2.114,164.107.2.70,78.00
164.107.2.194,164.107.2.73,46.00
164.107.2.210,164.107.2.74,78.00
164.107.2.81,164.107.2.77,47.00
164.107.2.114,164.107.2.78,78.00
199.18.169.2,164.107.2.82,47.00
164.107.2.81,164.107.2.85,47.00
164.107.2.114,164.107.2.86,63.00
164.107.2.81,164.107.2.89,47.00
164.107.2.118,164.107.2.90,62.00
164.107.2.81,164.107.2.93,62.00
164.107.2.114,164.107.2.94,62.00
164.107.2.81,164.107.2.101,47.00
164.107.2.114,164.107.2.102,46.00
164.107.2.194,164.107.2.105,47.00
164.107.2.210,164.107.2.106,62.00
164.107.2.81,164.107.2.109,62.00
164.107.2.114,164.107.2.110,63.00
164.107.2.194,164.107.2.113,47.00
164.107.2.194,164.107.2.117,94.00
164.107.2.81,164.107.2.121,62.00
164.107.2.114,164.107.2.122,79.00
164.107.2.81,164.107.2.125,62.00
164.107.2.161,164.107.2.126,46.00
164.107.2.114,164.107.2.132,46.00
164.107.2.161,164.107.2.133,62.00
164.107.2.81,164.107.2.134,47.00
164.107.2.114,164.107.2.135,62.00
164.107.2.17,164.107.2.136,47.00
164.107.2.150,164.107.2.137,63.00
164.107.2.114,164.107.2.139,63.00
164.107.2.17,164.107.3.34,47.00
164.107.3.34,164.107.4.81,63.00
164.107.2.18,164.107.2.141,47.00
164.107.2.141,164.107.2.142,47.00
164.107.4.81,164.107.2.145,47.00
164.107.2.145,164.107.2.146,63.00
199.18.169.2,164.107.2.149,63.00
164.107.2.194,164.107.2.153,47.00
164.107.2.17,164.107.2.154,47.00
164.107.2.194,164.107.2.157,47.00
164.107.2.17,164.107.2.158,47.00
164.107.2.194,164.107.2.162,47.00
164.107.2.81,164.107.2.165,47.00
164.107.2.114,164.107.2.166,78.00
164.107.2.81,164.107.2.169,47.00
164.107.2.114,164.107.2.170,78.00
164.107.2.81,164.107.2.173,78.00
164.107.2.114,164.107.2.174,63.00
164.107.2.81,164.107.2.177,62.00
164.107.2.114,164.107.2.178,63.00
164.107.2.81,164.107.2.181,62.00
164.107.2.114,164.107.2.182,63.00
164.107.2.161,164.107.2.185,203.00
164.107.2.150,164.107.2.221,141.00
164.107.2.221,164.107.2.186,47.00
164.107.2.81,164.107.2.189,94.00
